,objek wisata,ulasan,atraksi,amenitas,aksesibilitas
2781,wego,Akses jalan lumayan bagus namun jauh kemana-mana.,,,negatif
2314,wbl,Bagus tapi slot parkir ga memadai sehingga harus parkir di parkir liar yg harganya 2x lipat(20rb),,negatif,
374,alun alun,keren..,,,
2625,wbl,Akses ke wisata bahari Lamongan sangat mudah dijangkau karena berada di sepanjang jalan pantura,,,positif
1110,goa maharani,nyaman untuk anak2,,positif,
790,alun alun,Bagus untuk wisata keluarga,positif,,
1570,pantai kutang,"Pantainya tidak cocok untuk berenang. Kalau buat main air masih bisa. Pantainya pantai karang jadi peluang badan lecet sangat besar. Tidak ramah buat anak-anak. Kalau dermaga/ jembatannya sangat bagus buat santai atau foto-foto. Makanannya murah.
Kebersihannya baik.",negatif,positif,
1551,pantai kutang,"di toiletnya ga ada air, tapi tetep dimintain duit toilet 2 rb",,negatif,
2135,wbl,Kok semakin jorok tempatnya sekarang? Di tempat hewan onta dan kerbau (sejenisnya) kotorannya menumpuk dan baunya menyengat.. Dan beberapa tempat hewan lainnya juga bau.. Kasian hewan hewannya.. Mohon segera bisa di adakan pembersihan.. Biar hewannya nyaman.. Pengunjung juga nyaman,,negatif,
682,alun alun,Bersih tempatnya gak rame juga,,positif,
1651,pantai kutang,Panas dan digazebo seharusnya dikasih tempat duduk,,negatif,
615,alun alun,Bersih sangat melayani masyarakat dpm beraktifitas di alun alun,,positif,
992,goa maharani,"jalur zoo-nya sedikit rumit dan membingungkan.
jalur jalan pengunjung di dalam gua maharani, bagi saya, jadi mengurangi kealamian gua.",,,negatif
1913,pantai lorena,Pasir dan karang pantai lorena,positif,,
1104,goa maharani,Puas,,,
81,alun alun,"Tempatnya bersih bagus n luas
Ada banyak spot foto,wahana bermain n olah raga.",positif,positif,
150,alun alun,Tempat paling sering dikunjungi saat weekand bareng keluarga,positif,,
827,alun alun,"Alun alun lumayan luas, ada tempat bermain untuk anak anak , banyak orang berjualan makanan tradisional, seperti petulo, es dawet, putu ayu. Soto Lamongan ,bagi kaum muslimin muslimah disebelah barat alun alun ada masjid jami'suasana sejuk dan sangat religi",positif,,
1045,goa maharani,Berasa lebih dekat dengan hewan,positif,,
2805,gunung mas mantup,"Keadaan jalan yang bergelombang bisa membuat perjalanan sedikit tidak nyaman, tetapi fasilitas toilet yang bersih dan terawat dengan baik membuatnya sedikit lebih baik",,positif,negatif
600,alun alun,"Bagus, bersih.. ramah buat anak bermain..",,positif,
2287,wbl,"Seru gayss,,, saya baru pertama kali main ke sini. Jauh"" dari Tanggerang Selatan.",positif,,
1706,pantai lorena,Tempatnya asik. Ngopi plus makan rujak khas paciran sambil liatin pantai. Byuuh...,positif,,
238,alun alun,Lumayan bagus buat bersantai dah spot foto. Bagian selatan bayar parkir nya 3k,positif,positif,
2601,wbl,Permainannya cukup banyak,positif,,
241,alun alun,tempat yg nyaman unt ank² bermain,positif,,
1418,gunung pegat,Monggo para pegowes mampir saja di warung kebon ace dg sajian menu yg lengkap murah dn meriah...,,positif,
2269,wbl,"Tempat rekreasi yang lengkap untuk keluarga, wahana yang bermacam macam dan penuh tantangan",positif,,
201,alun alun,"Banyak orang jualan, cocok untuk bersantai, jogging. Halaman alun² luas dan sejuk banget banyak pepohonan",positif,positif,
834,alun alun,Sangat menyenangkan dg kota soto lamongan,positif,,
663,alun alun,bersih dan rrapi,,positif,
841,alun alun,kesini cari soto lamongan yang khas dengan koyanya,positif,,
1919,pantai lorena,Rujaknya enak,,positif,
1084,goa maharani,"Lama ndak kesini,udah makin banyak spot baru nya",positif,,
1927,pantai lorena,"pantainya sangat Indah, mudah dijangkau dari jalan raya",,,positif
2071,waduk gondang,"Bagus, mulai ada pembenahan dan penambahan fasilitas utk akses pejalan kaki. Mudah""an kedepan lebih Bagus lagi dan sukses.",,positif,
2795,wego,Terlalu jauh dari kawasan perkotaan. Jadi perjalanan menuju ke lokasi dari jalan raya provinsi cukup jauh,,,negatif
2824,wbl,tidak ada fasilitas pengisi daya gadget ,,negatif,
2509,wbl,Bagus Banget,,,
899,goa maharani,Tempat liburan yang mengedukasi anak terkait satwa yang ada di dunia.,positif,,
823,alun alun,Tempat kuliner khas lamongan nasi boran,positif,,
338,alun alun,Sangat bersih n nyaman,,positif,
463,alun alun,Sangat menyenangkan dan sejuk,positif,,
2128,wbl,Tempat yg menyenangkan untuk piknik,positif,,
2413,wbl,Cocok untuk berwisata dan berlibur bersama,positif,,
1861,pantai lorena,Keren,,,
1305,gunung pegat,"Gunung Pegat adalah salah satu obyek wisata baru di desa. Lokasinya berupa bukit yang ada bebatuan di atasnya. Ada beberapa spot untuk berfoto. Ada juga camping ground di sisi barat. Sudah disediakan kamar kecil, mushola dan beberapa bangunan seperti gazebo untuk bersantai. Di sebelah timur sebelum bagian ujung bukit ada jajanan kuliner makanan dan minuman untuk memgganjal perut sambil menikmati suasana perbukitan, memandang jauh ke kota Sukoharjo atau Wonogiri.",positif,positif,
785,alun alun,cocok untuk rekreasi keluarga,positif,,
2845,wbl,Kondisi jalan yang berbahaya dan tidak aman,,,negatif
850,goa maharani,"Tempatnya bersih, hewannya lebih banyak dan bervariasi, senang sekali kesini bersama keluarga. Bisa jadi alternatif baru untuk berlibur di kebun binatang. Goa maharani nya masih ada. Semuanya bagus lah. Cuma kurang ada foodcourt aja. Hanya ada jualan minuman dan snack lumayan laper banget keliling sini meski sekedar foto2 bercanda tawa bersama keluarga. Disini jg ada kolam renang jadi nya di dalam piramid. So, selamat liburan gess",positif,negatif,
341,alun alun,Menyenangkan dan tempat nya bagus cocok untuk anak2 dan anak muda2,positif,,
1875,pantai lorena,Enak buat ngadem dan ngerujak,positif,,
906,goa maharani,"Tempatnya nyaman banyak binatangnya juga bisa buat perkenalan buat anak"" tentang hewan harga tiketnya juga tidak terlalu mahal.",positif,positif,
227,alun alun,Bagus daa tempat bermain dan dekat masjid agung,positif,positif,
1862,pantai lorena,Asyik pemandangan ne...,positif,,
378,alun alun,"Taman kota yang representatif untuk apa aja. Dilengkapi dengan fasilitas yang cukup lengkap, mulai arena bermain anak, olahraga, aneka satwa, pesawat tempur TNI, aula terbuka, panggung serbaguna dan lain-lain. Sangat cocok untuk family time.",,positif,
2610,wbl,WBL sekarang jadi biasa aja,negatif,,
2422,wbl,Keren banyak wahana dan fasilitas lengkap..,positif,positif,
2094,waduk gondang,"Tempatnya rindang, asri",,,
2349,wbl,Mantapp bestie sesuai dengan harga lah bisa naik wahana apapun sampai puasss pokok nya sukses buat wbl and team,positif,,
2353,wbl,"Wahana bermain untuk keluarga, banyak pilihan untuk bermain, termasuk berenang juga.",positif,,
425,alun alun,Luar biasa Lamongan,,,
1362,gunung pegat,"GP ,,,view menarik buat pemula goweser ,,,salam sehat",positif,,
2501,wbl,Tmpat wisata,,,
2616,wbl,"Jaraknya nggak jauh dari tempat menginap, jadi nggak perlu khawatir kecapean pas nyampe ke sini.",,,positif
1890,pantai lorena,Sore yang menawan dipantai lorena,positif,,
1454,gunung pegat,View nya cakep,positif,,
972,goa maharani,"Destinasi wisata yg cocok untuk anak2 dan keluarga.

Biaya masuknya juga murah.",positif,,
758,alun alun,"Salah satu icon kota kebanggaan Lamongan, dengan dibangunnya bianglala dan taman yg indah membuat daya tarik warga Lamongan serta warga luar Lamongan untuk datang mengunjunginya",positif,,
140,alun alun,sangat direkomendasikan untuk menghabiskan waktu dengan keluarga,positif,,
99,alun alun,Tempat luas. Banyak mainan utk anak2. Kemarin kesana jam 4an jd blm banyak penjual2 makanan...,positif,positif,
541,alun alun,nyaman.....dan dekat masjid Agung,positif,positif,
722,alun alun,Kalau bisa permainan di tambah buat anak anak,negatif,,
1473,gunung pegat,"Hati hati naik turun tanjakan, apalagi berboncengan dan beriringan.",,,negatif
1619,pantai kutang,"Pantainya sebenernya bagus, namun jam bukanya kurang lama dikit, soalnya jam 5 sudah tutup...mungkin kalau mau lebih malam dikit akan lebih seru... kadang masih banyak sampah rumah tangganya di dekat pintu masuk.
Datang pas sepi yang paling pas di pantai ini.",,negatif,
649,alun alun,Bagus dan bersih.,,positif,
733,alun alun,Bingung cari tempat parkir mobil kalo disekelilingnya udah penuh. Ada ferris wheel udah kayak alun alun batu,,negatif,
1719,pantai lorena,Wisata gratis hanya bayar parkir saja . Makanannya enek & murah,,positif,
1667,pantai kutang,Sunsetnya sangat bagus dan menarik,positif,,
1597,pantai kutang,"Pantai tidak terlalu luas, tp cukup bagus si ada gazebo juga, cuma masih banyak sampah",,negatif,
1430,gunung pegat,"Kl masih pagi enak sekali belum ramai, udara segar",positif,,
1294,gunung pegat,Keren tempat luas bersih kuliner murah meriah..,,positif,
844,alun alun,Alun-alun yang terletak di tengah kota menjadi lokasi yang ideal untuk mengadakan acara atau festival besar yang dihadiri oleh banyak orang,,,positif
176,alun alun,taman dan tempatnya asik buat nyatai dan buat liburan,positif,,
1582,pantai kutang,"Pantai lumayan bersih, puas rasanya bisa melihat laut lepas. Cukup ramai waktu saya ke sana shg bs meningkatkan ekonomi masyarakat sekitar.",positif,positif,
1285,gunung pegat,"untuk menuju kesini bisa dijangkau dengan sepeda, sepeda motor, maupun mobil dengan jalur yang sudah nyaman dilalui berupa cor beton dengan medan yang menanjak diatas banyak terdapat warung yang menjajakan makanan atau untuk tempat beristirahat disini sudah ada fasilitas toilet juga terdapat wahana permainan anak-anak yang bisa dinikmati bila ingin mendirikan tenda untuk camping sudah ada area yang disediakan wisata gunung pegat juga cocok untuk kalian yang solo traveling, bersama teman,sahabat maupun keluarga karena wisata yang ramah dikantong .",,positif,positif
2194,wbl,Untuk makanan yg kurang mantap,,negatif,
1486,gunung pegat,"Kuliner kurang,,banyak kios tutup...",,negatif,
375,alun alun,Sekarang lebih bersih & tertata rapi,,positif,
299,alun alun,Oke laaa,,,
396,alun alun,"bianglala nya,",positif,positif,
2065,waduk gondang,Cocok utk piknik keluarga...,positif,,
744,alun alun,"Bagus dan rama penduduk, saya suka kalok minggu pagi ke alun-alun lamongan",positif,,
46,alun alun," playground beberapa ada yang rusak, prosotan ada yang bolong . Kalo minggu ramai CFD disini. Semoga makin ditingkatkan kebersihannya",,negatif,
2004,waduk gondang,Kurang terawat toiletnya,,negatif,
643,alun alun,Bersih nyaman,,positif,
1750,pantai lorena,Lebih bagus pas sore hari tmpatnya.. Kerennya dpt pas sore hari,positif,,
2319,wbl,"Wahananya beragam, akses tidak sulit deket Pantura",positif,,positif
2566,wbl,"Saat datang tgl 06 Nov 2021, pengunjungnya cukup sepi, permainannya lumayan banyak namun sudah termakan usia dan tidak mengikuti perkembangan. Semoga ada maintenance dan pembaharuan permainan",negatif,,
2792,wego,akses jalan menuju wisata masih kurang,,,negatif
190,alun alun,Alun alun yang lengkap dan nyaman untuk bermain,,positif,
2784,wego,"Tempat jauh, akses menuju lokasi jalan kurang enak.",,,negatif
2225,wbl,"Pertama kali ke sini bersama keluarga,, anak² sangat antusias untuk menikmati setiap wahana yg tersedia. Dan yg tak kalah penting adalah toilet dan foodcourt lumayan banyak, sehingga kita ga binggung untuk mencari kedua tempat tersebut.",positif,positif,
2483,wbl,Wahana lengkap,positif,,
175,alun alun,"Tempat parkirnya mudah, sekarang ada stan makannya di sisi timur jadi lebih enak. Luas banget",,positif,
1089,goa maharani,Cocok buat wisata keluarga dan edukasi utk anak-anak,positif,,
2698,wego,Mohon untuk kamar mandinya di perbanyak ya..,,negatif,
2437,wbl,"Sangat menarik,seru dan banyak wahananya.",positif,,
476,alun alun,Tidak bagus-bagus amat alun-alun kotanya.,negatif,,
1388,gunung pegat,Tempatnya masih asli & pemandangana indah,positif,,
1299,gunung pegat,"Surga bagi penikmat pemandangan dari ketinggian. Tak perlu mendaki namun bisa mencapai puncak tinggi. Tempat yang menyenangkan untuk menikmati kopi. Banyak spot foto yang indah. Tempatnya aman, ada yg hpnya tertinggal dirawati pengelola, sampai diambil pemiliknya. Kacamata saya tertinggal di sana, saya kembali keesokan harinya ternyata disimpan oleh pengelola.
Jalan menuju puncak menanjak, tenang ada petugas yang mengatur jalan, tak perlu was-was.",positif,positif,positif
1518,gunung pegat,Mantap,,,
1127,goa maharani,Sesuai untuk anak²,positif,,
626,alun alun,gelapp..,,negatif,
1949,pantai lorena,Lokasinya yang berada di tepi jalan raya membuat tempat ini sangat mudah diakses,,,positif
1741,pantai lorena,Menghabiskan waktu sambil makan rujak + es kelapa muda,positif,,
4,alun alun,"Alun-alun dengan banyak fasilitas yang bisa digunakan, ada beberapa alat olahraga di sini sehingga bisa dipakai untuk berolahraga bersama keluarga, ada juga berbagai permainan yang bisa untuk membuat bahagia putra-putri kita. Hari Minggu sangat ramai dengan pengunjung karena ada banyak pedagang yang berjualan.",,positif,
481,alun alun,Area main lepas lelah anak anak,positif,,
300,alun alun,Mantaaaab.....sangat  memuaskan  untuk  refreshing  bersama  seluruh  keluarga.....,positif,,
2342,wbl,"Wahana seru, pantainya bagus, klo renang ditempat dewasa hrus pakek baju renang tpi ada tempat sewa baju renang sih",positif,positif,
2849,pantai kutang,pantainya tidak kotor,,positif,
2233,wbl,Tempat yang tepat untuk membahagiakan keluarga anda...,positif,,
745,alun alun,Tempat yg bagus untuk mengajak keluarga,positif,,
1289,gunung pegat,Cocok buat sepedaan. Tapi naiknya nanjak banget bahaya mending dituntun aja deh.....,,,negatif
1668,pantai kutang,"pantai nya bagus lumayan buat spit foto atau prewed, hanya saja akses masuknya melalui jalan yang cukup sempit",positif,,negatif
1052,goa maharani,Seru dan menarik,positif,,
665,alun alun,Bagus bersih dan indah,positif,positif,
2380,wbl,"
Seru banget tempatnya..
Cocok untuk anak2..
Terutama kolam renang yang jadi sasaran utama..
",positif,,
2247,wbl,"Parkirannya sangat luas dan bersih tapi di dalam agak sedikit kotor,mungkin kemarin pas hujan apalagi kamar mandi dekat kolam anak.Karena sandal tidak di lepas maka lantai menjadi sangat kotor,dan pintu kamar mandinya pakai kain.",,negatif,
1580,pantai kutang,"Kalau mau ke tempat untuk main air/ pantai dengkaal harus jalan lama banget, tapi paling cocok untuk liburan  keluarga",,,negatif
2565,wbl,Fasilitas kurang memadai.. Dan kurang perawatan.. Permainan kurang safety.. Dan bau pesing,negatif,negatif,
789,alun alun,Saya sering bermain bersama keluarga di alun alun lamongan,positif,,
996,goa maharani,Beberapa hewan terlihat tidak terawat,,negatif,
1705,pantai lorena,"Bersih, tidak ramai pengunjung, cocok untuk menikmati di pinggir pantai, kuliner enak dan murah",positif,positif,
2543,wbl,ada tempat renang tapi tidak boleh pakai celana panjang dan baju panjang bagi laki²,,negatif,
251,alun alun,Cocok buat healing tipis2,positif,,
2875,goa maharani,"Objek wisata ini tidak memiliki daya tarik yang bagus dalam hal atraksi pertunjukan, terasa datar dan kurang menghibur.",negatif,,
2458,wbl,Di resort Cafe nya bagus banget,,positif,
2433,wbl,kak mau tany tangal 4 bukak. apa ngk,,,
1638,pantai kutang,"Pantai yang cocok untuk menikmati sunset. Tiket masuk cukup dengan 5k/orang dan parkir motor 2k.
Ujung dari jembatan pantai adalah pesisir dari pantai kutang yang bisa dibuat untuk bermain air. Terdapat beberapa magrove dan ayunan disekitar pesisir pantai kutang.",positif,positif,
2438,wbl,Destinasi permainan cukup banyak sangat cocok untuk anak2 dan menyenangkan,positif,,
1042,goa maharani,Wisata dengan edukasi buat anak².,positif,,
548,alun alun,"Bagus
Kebersihan terjaga",,positif,
1967,waduk gondang,Sayangnya kurang terawat sekarang tempatnya,,negatif,
1656,pantai kutang,"Sangat bagus, dengan ombaknya yang berdesir",positif,,
1122,goa maharani,Bagus,,,
454,alun alun,ada Bianglala,positif,,
768,alun alun,"tempatnya rapi, bersih, luas...nyaman .
hiburan murah meriah untuk keluarga . dekat dengan masjid juga tempat kuliner.
nice ",positif,positif,
130,alun alun,"Banyak hal baru yg sy tmui dsana sjak thn 2005 hingga skg 2021
Kesanny skg jauh lbih Indah Bersih dan banyak media prmainan utk anak² cocok sekali utk bersantai brsama keluarga.
Alhamdulillah punya istri org Lamongan",positif,positif,
980,goa maharani,"Hewan2nya banyak dan sehat2, tempatnya bagus2",positif,,
838,alun alun,"Soto lamongannya enak banget, rasanya khas apa lagi yg deket gapura pokoke muantep",positif,,
1015,goa maharani,"Dulu hanya wisata goa saja, skrg udah ada hewannya",positif,,
1724,pantai lorena,"Lumayan buat istirahat , sayang kurang bersih sampah nya.. Semoga semakin bersih.",,negatif,
1954,waduk gondang,"Destinasi wisata alam Murah dan apa adanya saja
Tiket masuk Rp 6.000 / Orang (Sepeda motor)
Parkir mobil lumayan luas, parkir motornya sembarangan.
ada mini zoo nya (Monyet, Ular, Burung)
ada tempat bermain anak-anak,
tempatnya sangat teduh dan rindang,
banyak pedagang makanan dan minuman",,positif,
1399,gunung pegat,bagus ada rintangannya waktu nyepeda,positif,,
1092,goa maharani,Fasilitas cukup memadai. Pelayanan ramah.,,positif,
1371,gunung pegat,"tempat rekreasi yg alami, sejuk nyaman indah.  ada balon udara, perahu spot bagus, mantap.  tiket masuk murah.  kedepannya smoga lebih baik lagi.  Aamiin,,,",positif,positif,
1240,gunung mas mantup,"Tidak ada banyak aktivitas yang bisa dilakukan di tempat ini, hanya sebatas berfoto.",negatif,,
680,alun alun,"Asri,bersih",positif,positif,
887,goa maharani,Tempat rekreasi dan edukasi satwa lumayan banyak koleksinya....,positif,,
1053,goa maharani,Bagus,,,
1866,pantai lorena,wisata gratis.. pemandangan epik,positif,,
1692,pantai lorena,Buat yg pingin santai di tepi pantai tanpa parkir dan ongkos masuk rekomended lah,positif,,
2146,wbl,Wahanya semakin banyak yang baru. Good,positif,,
868,goa maharani,"Dapat promo 2 free 1. Hewan relatif banyak, sebagian kurusan, tapi petugasnya baik.
Harga makanan di depan juga g malak, soto daging nya enak. Yang jual ramah. Toilet di mana2, wastafel juga
Playground boleh dipakai. Carousel juga meskipun yg naek cuma anak kita 2 orang tetep dinyalain.",positif,positif,
42,alun alun,"Bersih, tertata rapi Dan bersahabat",,positif,
373,alun alun,Luas dan bagus,,,
127,alun alun,Tempatnya enak welcome bgt buat anak2 juga...,positif,,
2876,alun alun,"taman bermain tidak bagus, terlihat usang dan kurang menarik bagi anak-anak",negatif,,
1926,pantai lorena,Indah uapik keren,positif,,
111,alun alun,"Alun2 kota yang jadi pusat berbagai kalangan, duduk2, atau sekedar berfoto-foto, di sini sudah tertata rapi dan bersih.",positif,positif,
666,alun alun,"Bersih, dan bagus",,positif,
1440,gunung pegat,Tempat outdor yg enak buat nyantai dengan keluarga,positif,,
1483,gunung pegat,Terima kasih google,,,
707,alun alun,"Luas....bannyak hiduran untuk masyarakat,kuliner khas dijajakan lesehan",positif,positif,
123,alun alun,"Sejak ada bianglala dan bunga2 warna pink, alun2 jadi nampak indah, instagramable.. Apalagi kesini pagi2 dan sore2",positif,,
2761,wego,Belum ada wahana baru,negatif,,
2759,wego,"Bagus, tapi relatif mahal untuk daerah sini",,negatif,
612,alun alun,Lengkap bersih tempat parkir nya luas,,positif,
2115,waduk gondang,"Buat di perjalanan nih yaaa. Klo bisa jgn ngelakuin perjalanan di daerah ini di atas jam set 5, Krn penerangan jalan msh blm ada. Jalanannya jg g lebar (alias sempit cuy)
Banyak jg kendaraan besar yg lewat daerah ini, jd lumayan bahaya sih. Apalg klo buat motor, klo mobil pastiin yg nyetir jago segala medan yaaa. Tetep safety, karena indonesia masih punya banyak tempat menarik buat di kunjungi.",,,negatif
226,alun alun," pedagang PKL kurang tertata rapi. Alun"" terlihat asyik kl para pedagangnya banyak and tertata rapi",,negatif,
2878,wbl,makanannya tidak enak dan tidak sebanding dengan harga yang dibayarkan,,negatif,
1932,pantai lorena,Tempat yang indah. Tempat yang bagus untuk fotografi,positif,,
767,alun alun,"Tempat hiburan mulai anak-anak sampai orang tua bs bersantai, berolahraga dll. Ditunjang dg prasarana yg memadai, dekat dg masjid agung Lamongan juga,wes pokoke Josh",positif,positif,
136,alun alun,"Tempatnya lumayan nyaman, asik buat menikmati udara malam dikota lamongan. Bianglala yang ada disana menambah keciamikan alun alun ini",positif,,
84,alun alun,indah asri... kaget setelah 2 tahun di Negeri Orang.. baru kmrin sempat main ke Alun2 udah banyak yg berubah.. dan tentunya makin indah..,positif,,
1730,pantai lorena,perlu ditambahkan spot-spot untuk foto.,negatif,,
315,alun alun,Keren alun alun kota lamongan tapi kebersihan nya kurang bersih.  Dan beberapa wahana ada yang agak rusak,,negatif,
1004,goa maharani," Berbagai hewan jadi koleksi di tempat ini, sangat cocok untuk wisata keluaga, bagus utuk edukasi anak2. Pada jam-jam tertentu ada animal show di sini. Yang berbeda dari kebun binatang pada umumnya di sini ada goa alamnya juga.",positif,,
1121,goa maharani,Baguss,,,
1964,waduk gondang,"suasana seperti tempat wisata yang biasa saya datangi, namun ada yang berbeda karena ada wahana yang sepertinya baru pertama kali saya liat. seperti wahana salju, namun diharuskan membayar jika mau menikmatinya.",positif,,
1186,gunung mas mantup,nyaman dan sejuk banyak rumah2 unik untuk berteduh,,positif,
598,alun alun,"alun alun nya bersih, ada fasilitas banyak
nyaman sekali..",,positif,
2015,waduk gondang,Udara segarr di pagi hari,positif,,
1831,pantai lorena,"Tidak ada wahana apa apa di sana, langsung berbatasan dengan jalan raya jadi aksesnya mudah",negatif,,positif
748,alun alun,Alun-alun yang merupakan jantung kabupaten Lamongan semakin mempesona. Jajaran Taman dan Air mancur serta trotoar yang lebar membuat nyaman untuk dijadikan tempat berkumpul diluar ruangan,positif,,
377,alun alun,"Ramai kalau hari minggu, tempat duduk2nya kurang, kuliner lumayanlah, cuman agak mahal kalau beli makan disini",,negatif,
724,alun alun,Bagus bnyk permainan untuk anak2,positif,,
2739,wego,Ya begitulah udh 2x kesini,,,
2283,wbl,Degan jelly,,,
77,alun alun,"ada beberapa fasilitas rusak dan cat mulai luntur, satpol pp ngeriung ngadem aja sii di pos, pantau pengunjung dong, untuk yg lainya bagus, pekerja pertamanan jg rajin",,negatif,
2229,wbl,Parkir nyaman tiket standart,,positif,
584,alun alun," lalu lintas 2 arah, sangat berbahaya",,,negatif
2454,wbl,pwahana dalam kondisi baik dan terawat,,positif,
2241,wbl,Worth it bgt lah tiket harga segitu.. Seharian g bkalan cukup njelajah semua.,positif,,
2005,waduk gondang,Sejuk suasananya,positif,,
690,alun alun,"Tempat berburu wifi gratis, banyak jualan dari makanan sampai bebajuan",,positif,
390,alun alun,Tempatnya bagus untuk santai,positif,,
572,alun alun,fasilitasnya perlu pemeliharaan lebih.,,negatif,
957,goa maharani,"Harga terjangkau, cocok untuk liburan bersama keluarga",,,positif
1904,pantai lorena,"Mantap, ramah",,positif,
777,alun alun,"Tempatnya bagus, bersih dan rindang.. Nyaman buat kumpul sama temen atau keluarga",,positif,
2254,wbl,Wbl tempat paling asik untuk dikunjungi bersama keluarga,positif,,
1585,pantai kutang,"Parkir mobil tidak ada atapnya juga
Banyak sampah, padahal tempat sampahnya banyak:(
Tempat wudhu di mushola cuman satu",,negatif,
1113,goa maharani,"hewannya beragam menarik untuk anak anak, lokasi dekat jalan pantura tidak sulit ditemukan",positif,,positif
1799,pantai lorena,suka ke pantai lorena karena rujaknya khas dan enak,positif,,
1845,pantai lorena,Nyaman bgt asal pinter nyari tempat,positif,,
1994,waduk gondang,Tempatnya sejuk,positif,,
455,alun alun,"jalan semakin bagus, ada wifi juga",,positif,positif
1502,gunung pegat,Lumayan buat olahraga,positif,,
2895,goa maharani,akses menuju lokasi objek wisata ini tidak  sulit dan dapat dijangkau dengan kendaraan pribadi,,,positif
467,alun alun,kondisi jalan raya perlu diperhatikan,,,negatif
1941,pantai lorena,Pantainya sejuk,positif,,
1086,goa maharani,Mantap...edukasi + pengenalan tentang binatang buat yang punya anak balita,positif,,
1771,pantai lorena,Terletak di kawasan pantura dengan pantai yang bersih. Banyak warung di tepi pantai dan sangat cocok untuk bermain anak2 saat surut.,,positif,
2623,wbl,"Meskipun terdapat beberapa bagian jalan yang sedikit rusak, tapi tidak terlalu mengganggu perjalanan ke lokasi wisata.",,,positif
1660,pantai kutang,Menawan,positif,,
1859,pantai lorena,Bagus pantai nya deket jalan raya,,,positif
1373,gunung pegat,Pemandangan yg bagus,positif,,
2653,wego,Lumayan,,,
1279,gunung mas mantup,Tempatnya bagus luas bayak spot selfi tapi jalanya masih diperbaiki,positif,,negatif
1048,goa maharani,Wahana bermain dan edukasi di wisata maharani,positif,,
597,alun alun,"Makin bagus, rapi, bersih, dan nyaman ",,positif,
1864,pantai lorena,Saat air laut surut tampak lebih indah,positif,,
2710,wego,cocok buat refreshing,positif,,
743,alun alun,Tempatnya aman dan nyaman buat rekreasi bareng keluarga karna tempat penjualanya sudah diatur,,positif,
1128,goa maharani,Keseruan di lamongan sebelum wbl,,,
296,alun alun,banyak tempat bermain anak anak,positif,,
1571,pantai kutang,"Tempat kurang tertata, parkir jg kurang tertata, akses menuju ke pantai dg melewati jembatan diatas laut lumayan bagus dg gazebo utk istirahat sejenak",,negatif,positif
1494,gunung pegat,Luarrrr biasa!!!,,,
647,alun alun,Alun alunnya bersih tertata dengan rapi,,positif,
49,alun alun,"banyak permainan anak"" yg perlu perbaikan",,negatif,
1678,pantai kutang,Pantai cantik  akses menuju lokasi pun tidak sulit & bagus jalannya,positif,,positif
813,alun alun,Alun-alun lamongan terletak ditengah kota Lamongan. Disini banyak sekali ragam makanan jawa timur khususnya makanan khas lamongan yaitu sego boran. Selain itu aneka permainan anak juga ada. Biasanya alun-alun ini digunakan untuk berkumpul bersama keluarga atau teman-teman.,positif,,
941,goa maharani,Cocok buat liburan keluarga sambil mengenalkan berbagai macam binatang,positif,,
1271,gunung mas mantup,Spot wisatanya sudah bagus...penataan layout sdh bagus...cuman akses jalan masuknya yg masih butuh perhatian...masih makadam...dan perlu adanya penunjuk arah jalan masuk,positif,positif,negatif
1511,gunung pegat,Belum kesana... Besok jajal,,,
1894,pantai lorena,Pantai yg pemandangan laut,positif,,
440,alun alun,bianglalanya jarang nyala kalo weekday,,,
2289,wbl,"Asyik, menarik dan mengedukasi siswa",positif,,
881,goa maharani,"Bagus,bersih hewan terlihat sehat dan terawat.",positif,,
1512,gunung pegat,Spot foto bagus,positif,,
970,goa maharani,"Pergi di selain hari Sabtu-Minggu sangat leluasa, pengunjung yang relatif tidak ramai, bebas dan tidak perlu antri melihat hewan. Goa Maharani nya sangat luar biasa.",positif,,
1594,pantai kutang,Buat liburan tipisw sekeluarga its ok lah. Penjaga pantainya bener2 menjaga dgn baik,positif,positif,
517,alun alun,Sejuk,positif,,
2883,gunung mas mantup,kurang ramah pengunjung karena tidak menyediakan fasilitas tempat istirahat yang memadai,,negatif,
329,alun alun,Aman dan nyaman untuk bermain anak2,positif,,
1340,gunung pegat,Butuh perjuangan buat naik ke atas. Di sapa terik matahari tapi bakal terbayarkan dengan view yg indah,positif,,negatif
2066,waduk gondang,Sejuk adem. Tp sayang binatangnya tidak terpelihara dg baik,positif,negatif,
68,alun alun,"Tempatnya luas, ramah anak n yg jelas menyenangkan bagi keluarga...",positif,,
2720,wego,Tempatnya bagus,positif,,
2304,wbl,Okay,,,
1114,goa maharani,Edukasi untuk anak kecil bagus,positif,,
184,alun alun,Tempat yg asri enak sekali buat santai sambil nunggu shalat berjamaah di masjid agung Lamongan,positif,,
2574,wbl,"satpam menyusahkan, sok""an ... mohon ditindaklanjuti... ",,negatif,
147,alun alun,Nasi sego Boran sip....,positif,,
385,alun alun,Lokasinya Bersih,,positif,
1564,pantai kutang,"Tempat yang dulu menjadi surga tersembunyi yang hanya warga lokal saja yang tau dan sedikit orang luar, dimana sangat cocok sebagai tempat mencari ketenangan dan menikmati keindahan alam",positif,,
2544,wbl,"Fovorit anak² untuk rekreasi, selain permainan banyak tempat juga bersih dan pemandangan bagus. Sebelah langsung pantai, seger",positif,positif,
