objek wisata,ulasan,atraksi,amenitas,aksesibilitas
goa maharani,Hewan e banyak,positif,,
gunung pegat,"View gunung pegat di malam hari, sekedar menghilangkan penat sabilah.",positif,,
gunung pegat,"Sabtu malam bersama sahabat, makan mie goreng telur disanding es kopi bersama hiburan orgen tunggal sembari menikmati pemandangan kerlip lampu pedesaan",positif,,
gunung mas mantup,"Daya tarik tempat ini sangat kurang, hanya terdiri dari satu atau dua objek saja.",negatif,,
gunung mas mantup,"Banyak spot foto, tp sayang sedikit yg jual makanan",positif,negatif,
alun alun,Cukup Bagus buat hiburan bersama keluarga,positif,,
waduk gondang,"Tempat bermain anak"" banyak yg rusak,kurang perawatan",,negatif,
waduk gondang,Susana yang nyaman dan sejuk cocok buat diskusi,,positif,
alun alun,"Mantab oke, cuma sepi gk ada org jualan kayaknya gak boleh emang yaa jualan.
Parkirnya bayar padal aset nya untuk umum",,negatif,
wbl,"Kebersihan kurang ter kondiskan, n di Maharani zoo binatang nya kurus"" n banyak yg sakit.",,negatif,
wego,Tempatnya bagus,positif,,
wbl,Parkiran cukup luas. ,,positif,
gunung pegat,Tempatnya nyaman dengan pemandangan yang indah..hati-hati ya karena jalan sempit dan menanjak..,positif,,negatif
alun alun,"Tempatnya bersih terawat, nyaman dan banyak mainan anak2",positif,positif,
goa maharani,Emm bagus,,,
pantai lorena,Jalur yg mudah dijangkau antara lamongan dan gresik,,,positif
alun alun,"Sangat rindang pepohonannya, sayang hanya kurang tertata dengan rapi pedagang di sekeliling alun alun",positif,negatif,
pantai lorena,Utk wisata gratis nonhkrong diwarung tepian jalan dan pantai lumayan lah,positif,,
wbl,"Di musim liburan pengunjung mulai naik dan banyak, Wahana wisata tetap layak dikunjungi, lengkap wisata permainan, keindahan laut dan kulinernya luar biasa.
Parkir luas, poros jalan lebar, nyaman untuk rekreasi keluarga dan warga",positif,positif,positif
alun alun,"Jantung Kota Lamongan
Dekat dengan kantor Masjid Agung dan pasar",,positif,
goa maharani,"Baguuuss... banyak hewane, anak kecil bisa interaksi langsung. Bisa memberi makan hewan-hewan. Harimau juga mantabss...",positif,,
goa maharani,"Nyaman,adem asri
Buat anak2 senang",positif,positif,
alun alun,"Gak terawat....banyak fasilitas yg gak berfungsi alias rusak parah dan terabaikan. Malam hari serasa di dalam kiburan, gelap lampu2nya banyak yg sudah mati, hampir 20% yg masih nyala. 24-05-2021. Mohon bapak bupati yg baru pak yess. Alun2 di perhatosaken.",,negatif,
gunung mas mantup,Perpaduan alamnya cukup bagus,positif,,
goa maharani,"Kebun binatang mini tapi koleksi hewannya lengkap
",positif,,
alun alun,"Sangat menarik untuk dikunjungi, alun-alun yang mengadopsi dengan tema kekinian ini cocok untuk anda muda mudi.",positif,,
wego,Pagi pagi gowes ke sini masuk nggak bayar karena satpam yang baik hati bolehin masuk karena blom buka,positif,,
waduk gondang,"Bagus, tempatnya sejuk & nyaman",positif,positif,
wbl,Bagus untuk anak2,positif,,
goa maharani,"Edukatif untuk pengenalan hewan kepada anak sejak dini, hnya saja toilet nya kurang perawatan.",positif,negatif,
wbl,Tempat wisata di kawasan Pantura yang memanjakan banget asyik deh pokonya ...berbagai wahana mainan ada di sini,positif,,
goa maharani,Lumayan lengkap binatangnya. Harga tiket terjangkau.,positif,,
alun alun,Bagus lebih dijaga kebersihannya ya,,negatif,
pantai kutang,"Pantai kutang,namanya hmm...pantai ini asik juga,pertama masuk kaget aq kira ga ada daratannya karena seperti tempat nelayan nyari ikan...setelah parkir mobil 5000 lalu tiket masuk per orang 5 ribu baru kita bisa melewati jembatan buatan diatas laut..ketika sudah di ujung jembatan ternyata banyak warung warung dan tempat daratan yang bisa buat renang dan bermain air..kalau ke tempat ini jangan lupa bawa autan,nyamuknya besar besar...sampe bentol2",positif,positif,
goa maharani,"Tempatnya bersih dan sangat terjangkau, koleksi binatang juga lumayan lengkap. Tempatnya tidak terlalu ramai, outdoor tapi tidak panas, wisata ini cocok di musim pandemi, sangat aman dan terjaga",positif,positif,
alun alun,"Bagus, nyaman dan asri",positif,,
alun alun,"Sebuah tempat yang nyaman untuk sejenak rehat. Dan bisa berlama bersama keluarga.

Ditengah kota..
Tapi nyaman sekalipun di tengah hari.
Sebab rindang nya pohon yang mulai meninggi..

Tata kota yang lumayan bagus.
Demikian",,positif,
goa maharani,tempat wisata yang bersih dan nyamam...,,positif,
alun alun,"Bagus,rapi,bersih,tempatnya nyaman...cocok jg utk tmpat bermain anak-anak a",positif,positif,
waduk gondang,Tempat sejuk. Cocok untuk wisata keluarga,positif,,
wbl,Worth it bgt lah tiket harga segitu.. Seharian g bkalan cukup njelajah semua.,positif,,
alun alun,"Tempat bermain dan berkumpul bersama anak di pusat kota lamongan..
Banyak aneka kuliner dan juga mainan untuk anak2..
Tempatnya luas dan juga nyaman..
Dekat dengan pasar besar dan juga masjid agung..",positif,positif,
waduk gondang,Indah dan nyaman,positif,positif,
pantai lorena,tidak ada penerangan banyak bebatuan cadas dan kurang ada perhatian pemda,,negatif,
gunung mas mantup,Tempat rekreasi keluarga paling murah meriah…banyak spot foto,positif,,
gunung pegat,Indah pokoknya...,positif,,
wbl,"Tempat wisata nya lumayan bagus, ada hewan, waterpark, pantai pun ada lengkap pokonya, pasarnya juga menjual berbagai oleh, mulai dari makanan, pakaian, pernak pernik khas lamongan...harga tiketnya sekarang juga terjangkau,mulai dari 50-130rb...",positif,positif,
wbl,"Baru pertama kli datang ke sini permainan lumayan banyak apa lg bawa anak2 seru banget,",positif,,
wbl,"Sangat menarik,seru dan banyak wahananya.",positif,,
pantai kutang,"Pantai Kutang lokasinya lumayan ada di ujung lamongan.
Setelah loket karcis ada jembatan yang membawa ke ujung pantainya. Disana ada beberapa tempat makan & ayunan dekat pantai, banyak pohon bakau juga. Pantainya tidak begitu berbahaya untuk anak-anak tetap perlu pengawasan. Buat piknik dirasa cocok sekali.

Posisi tempat parkir mobil dengan loket karcis jaraknya agak jauh jadi awalnya kukira tempatnya cuma dermaga aja. Parkir sepeda motor lebih dekat dengan loket karcis.",positif,negatif,
gunung mas mantup,kata kata yang ada pada papan di area wisata kurang pantas,negatif,,
wbl,"Akses ke tempat wisata bahari dapat dilakukan dengan berbagai jenis kendaraan, mulai dari mobil, motor, hingga sepeda",,,positif
goa maharani,"pemandanganya baguss
tempatnya terawat",positif,positif,
alun alun,"alun alun Lamongan bersih, indah,nyaman dan byk arena permainan bagi anak2x.",positif,positif,
waduk gondang,Nyaman,,positif,
wbl,Rame,,,
wbl,Banyak permaianan yang menantang adrenalin,positif,,
wbl,Bagus luas banyak wahananya namun saat ini sepi pengunjungnya,positif,,
goa maharani,Ok bagusbagus aja. Hewan terawat dengan sangat baik,positif,,
gunung mas mantup,"Lumayan bagus. Cuma akses jalan masuk jembatan, harus kalem2",,,negatif
alun alun,Taman alun alun lamongan sekarang  indah ayeeeem gitu,positif,,
waduk gondang,"Sejuuk pas sore"" Buat santai enaak, HTM 3000  makanan murah""",positif,positif,
wbl,Mantapp bestie sesuai dengan harga lah bisa naik wahana apapun sampai puasss pokok nya sukses buat wbl and team,positif,,
alun alun,"wisata gratis di Lamongan ya di alun-alun Lamongan, apalagi klo pas bianglala beroperasi jadi bisa lihat keindahan Lamongan dari atas dan gratis juga ya naiknya",positif,positif,
wbl,Mantap,,,
alun alun,"Banyak yg baru mainannya, anak2 senang..",positif,,
alun alun,Tempat nongkrong dan makanan rakyat nasi boran,positif,,
wbl,"Lokasinya luas, banyak wahana permainan yang bisa kita nikmati disini, ada waha air juga lho gaesss. Cocok buat tamu group atau rombongan kesini.
Tempatnya luas, jangan kuatir kalo kesini banyak yang jual kok makanan, minuman, serta oleh-oleh, buat yang tersayang.",positif,positif,
wego,Asri,positif,,
alun alun,"Pemandangan yg bagus...
Banyak spot foto
Dekat dengan masjid",positif,positif,
gunung pegat,Katanya bisa putus hubungan asmara kl lewatin gunung pegat?,,,
alun alun,Lumayan lah kalau sedang singgah sebentar di Lamongan. Sayangnya beberapa hal masih kurang terawat terutama lantai keramik trotoar yang banyak yang pecah serta mungkin agak jarang disapu.,,negatif,
pantai lorena,banyak sampahnya,,negatif,
pantai lorena,Menarik,positif,,
pantai lorena,Waktu sore paling enak bersantai disini sambil nunggu sunset,positif,,
alun alun,Taman bermain buat anak2..tempat bersih nyaman,positif,positif,
waduk gondang,Enk suasananya,,positif,
wbl,parkiran luas...waterpark nya juga aman bagi anak2...dan banyak wahana lainnya..,,positif,
goa maharani,"Menjelajahi tempat ini, memberikan pengalaman baru untuk si kecil yang berada di usia golden age",positif,,
wego,Bagus lumayanlah untuk refreshing,,,
pantai kutang,"Sangat bagus
Cocok untuk prewed",positif,,
goa maharani,"Kesekian kalinya kesini, overall good , alternative wisata keluarga karena anak saya bilang mau lihat hewan hewan",positif,,
wbl,Mantap,,,
wbl,"Wisata terusannya di banyakin dungg
Kalau ada gocart makin asyik..",negatif,,
pantai lorena,Keindahan laut yang keren,positif,,
gunung mas mantup,tempat wisata yg sgt bagus n trjangkau..banyak spot foto,positif,,
alun alun,ada beberapa fasilitas yg rusak dan blm ada penanganan dr pihak pengelola,,negatif,
goa maharani,Tempate enak hewan2 juga bermacam2,positif,,
alun alun,Tempat yg bersih dan masjidnya bagus,,positif,
pantai kutang,"eman banget, pantainya banyak sampah",,negatif,
alun alun,Tempat yg bagus untuk mengajak keluarga,positif,,
gunung mas mantup,Tempat bagus tapi kurang pepohonan,,negatif,
pantai lorena,"Duduk duduk di warung di pinggir pantai Lorena di bawah rimbunnya pohon. Menikmati embusan angin laut. Kalo lagi surut, pasirnya luas banget dan ",positif,,
alun alun,"Menarik sih, banyak makanan dan baju² tapi mereka dikelompokkan",positif,,
goa maharani,"Bersih tempatnya banyak hewan yang mau diajak foto.
Guanya juga bagus ke sana sebelum pandemi",positif,positif,
goa maharani,Tempat bagus,positif,,
alun alun,Alun2 yg bersih... banyak permainan cocok buat main sore bersama keluarga,positif,positif,
wbl,"Wisata legendaris di Lamongan, sangat menyenangkan sekali untuk berwisata bersama dengan keluarga, apalagi untuk urusan tiket, wajib hukumnya beli tiket terusan untuk menikmati semua wahana di wisata ini !!",positif,,
pantai lorena,Ciptaan ALLAH SWT memang sempurna dan indah banget. Segala jenis makanan juga tersedia di sini.,positif,positif,
wbl,Tempatnya bagus,,,
wego,...mohon di perbaiki lagi,,,
wbl,Agak kurang terawat,negatif,,
wbl,Petunjuk arah yang diberikan sangat membantu saya untuk sampai dengan tepat di wisata bahari Lamongan,,,positif
wbl,"Tempatnya sangat luas,,Parkirannya juga luas...Wahananya juga banyak dan bagus,,gak kalah sama wahana2 di tempat lain,,Ada beberapa jenis binatang seperti di jatim park Secret zoo malang...Tp di sni,,kita bisa lihat dan santai sambil mnikmati suasana pantai tanjung kodok...",positif,positif,
alun alun,Alun alunnya bersih tertata dengan rapi,,positif,
pantai lorena,View nya bagus ... di pagi hari dan sore hari .. . kalo bisa penjual di rapikan lagi viar makin nyamn mnikmati pmndangan laut pantura,positif,negatif,
wbl,Banyak wahana saat istirahat tidak berfungsi,negatif,,
wbl,Fasilitas memuaskan,,positif,
gunung pegat,"Surga bagi penikmat pemandangan dari ketinggian. Tak perlu mendaki namun bisa mencapai puncak tinggi. Tempat yang menyenangkan untuk menikmati kopi. Banyak spot foto yang indah. Tempatnya aman, ada yg hpnya tertinggal dirawati pengelola, sampai diambil pemiliknya. Kacamata saya tertinggal di sana, saya kembali keesokan harinya ternyata disimpan oleh pengelola.
Jalan menuju puncak menanjak, tenang ada petugas yang mengatur jalan, tak perlu was-was.",positif,positif,positif
alun alun,Bersih dan luas,,positif,
wbl,Wahananya banyak dan menarik,positif,,
wego,Tempatnya enak bagus hanya saja akses jalan raya menuju objek wisata ini perlu di perbaiki,,,negatif
alun alun,"Kalo pagi sampe sore sih disini terlihat bagus, tapi kalo udah malem kelihatan kumuh & agak horror, karena beberapa lampu taman ada yang tidak dinyalakan (yang lagi dimabuk asmara sih OKaja mungkin yaa  )
Tapi lumayan lah untuk tempat bermain anak
Bianglalanya selama ini belum terlihat berfungsi..",positif,negatif,
wego,Jalan menuju tempat wisata bergelombang dan hampir tidak ada transportasi umum lewat sana..padahal dg akses jalan yg bagus didukung dg transportasi pendukung pasti akan tambah ramai..,,,negatif
wego,cocok buat refreshing,positif,,
wbl,"Fovorit anak² untuk rekreasi, selain permainan banyak tempat juga bersih dan pemandangan bagus. Sebelah langsung pantai, seger",positif,positif,
pantai lorena,suka ke pantai lorena karena rujaknya khas dan enak,positif,,
wbl,pelayananya ramah oke bagus,,positif,
pantai lorena,"pantainya sangat Indah, mudah dijangkau dari jalan raya",,,positif
pantai lorena,Cukup nyaman untuk refresing keluarga tanpa bajet,positif,,
goa maharani,Sngat bagus,,,
wbl,Wisata hiburan keluarga dan edukasi pendidikan buat anak² sekolah jg bisa lengkap permainan,positif,,
goa maharani,Baww anak2 kesini lumayan buat edukasi,positif,,
pantai lorena,Bagus pantai nya deket jalan raya,,,positif
pantai lorena,Biasa bae,,,
waduk gondang,Bagus,,,
gunung pegat,Adem enak buat santai,positif,,
goa maharani,Buat edukasi anak supaya tau nama-nama hewan.,positif,,
alun alun,"Alun alun lumayan luas, ada tempat bermain untuk anak anak , banyak orang berjualan makanan tradisional, seperti petulo, es dawet, putu ayu. Soto Lamongan ,bagi kaum muslimin muslimah disebelah barat alun alun ada masjid jami'suasana sejuk dan sangat religi",positif,positif,
gunung pegat,Spot foto bagus,positif,,
gunung pegat,"Tidak sesuai, tidak ada atraksi yang menarik",negatif,,
pantai lorena,Kotor,,negatif,
goa maharani,"Gua Maharani merupakan salah satu wisata yang menakjubkan, terdapat banyak jenis binatang, dan disana juga menyuguhkan pemandangan yang begitu indah.
",positif,,
alun alun,"Masjid Agung Lamongan, areanya luas masih banyak pohon rindang, dekat dg alun2.",,positif,
pantai lorena,Sangat puas,,,
wbl,Banyak sekali wahana permainan anak2 dan edukasi kolamnya jg bersih petugas jaganya jg ramah2,positif,positif,
wego,Jalan nya masih ekstrim,,,negatif
alun alun,"Sambil nunggu berbuka main ke alun-alun Lamongan dulu. Setelah direnovasi, Alun-Alun Kota Lamongan menjadi lebih indah",positif,,
gunung mas mantup,Sangat bagus dan keren gays . Banyak spot foto,positif,,
alun alun,mantul,,,
alun alun,Tempat refreshing bagi warga Lamongan yg ada tempat bermainnya dan ada juga pohon kurma yang sudah keluar manggarnya,positif,,
goa maharani,"nek nggak niat buka kebun binatang mbok mending tutup aja, kasian hewan""nya yg pada gak keurus kelaparan dan kesiksa",negatif,,
alun alun,Bagus.... bersih...... ,,positif,
alun alun,gelapp..,,negatif,
alun alun,nyaman bersih,,positif,
wbl,Seru,,,
alun alun,Kesini cari nasi boran,positif,,
alun alun,Bagus bersih indah,positif,positif,
wego,"Sangat cocok untuk keluarga
Khususnya anak"", banyak juga pengetahuan"" Yang di dapat di wego",positif,,
gunung mas mantup,Lumayan bagus tapi kurang rindang terkesan agak panas,,negatif,
pantai kutang,sangat kecil dan jangan berharap lebih seperti pantai di pesisir selatan. tipikal pantai utara yg hampir gak memiliki ombak. dangkal. harga tiket masuk 5000 . hanya cocok buat foto2 saja dan melihat pemandangan. untuk berenang? kalau anak kecil sih bisa kalau dewasa mungkin sekedar kecek.,negatif,,
alun alun,Bagus & bersih,,positif,
alun alun,"Tempat hiburan mulai anak-anak sampai orang tua bs bersantai, berolahraga dll. Ditunjang dg prasarana yg memadai, dekat dg masjid agung Lamongan juga,wes pokoke Josh",positif,positif,
goa maharani,Sudah bersih dan tertata rapi,,positif,
goa maharani,Tempat nyaman cocok sekali utk liburan keluarga...,positif,,
goa maharani,Lumayan buat hiburan anak anak,positif,,
alun alun,Oke laaa,,,
wbl,"tempatnya bagus bersih rapi, banyak wahana, banyak kulinernya, banyak spot foto keren",positif,positif,
wego,Ayem.. sejuk tempat nya.. kolamnya juga terawat..,positif,positif,
pantai lorena,pantainya indah,positif,,
goa maharani,Satwanya tolong digemukin...  kasihan sama yang satu ini kurus kering,negatif,,
alun alun,Tempatnya nyaman sejuk,,positif,
alun alun,asri,positif,,
wbl,"Sejuk dan indah, menyenangkan bagi anak2 maupun orang dewasa",positif,,
pantai kutang,Lumayan buat ngilang ihh pikiran yg suntuk,positif,,
wbl,Pelayanannya baik... Banyak wahana... Mantab,positif,positif,
wego,Silahkan belanja di tempat kami,,,
wbl,Ramai,,,
waduk gondang,Kurang terawat toiletnya,,negatif,
alun alun,Alun alun kota Lamongan sekarang tambah bagus indah pemandangannya,positif,,
alun alun,bianglalanya jarang nyala kalo weekday,,,
wbl,"Mungkin jembatan penghubung antara WBL & Maharani Zoo yg perlu ditingkatkan kualitas & kebersihannya.
Mengingat lokasi yg cukup panas, mungkin juga perlu ditambah spot2 teduh.",,negatif,
pantai kutang,"Pantainya lumayan bagus, cuman sedikit yg perlu ditertibkan orang masih buang sampah di laut",positif,negatif,
alun alun,Tembatnya bagus bersih ada tempat untuk main anak anak,positif,positif,
wbl,Mantap,,,
gunung pegat,kurangnya ketersediaan tempat wudhu,,negatif,
alun alun,"Fasilitas bagus , suasana sejuk , tempat olahraga sangat lengkap",,positif,
wbl,Bagus. Fasilitas bertambah. Toilet bersih dan wangi,,positif,
pantai kutang,Tempatnya lumayan bagus dan bersih dgn hargaa tiket cm Rp 5000.,,positif,
alun alun,"Bagus dan rama penduduk, saya suka kalok minggu pagi ke alun-alun lamongan",positif,,
pantai lorena,Pas pinggir jalan lintas lamongan-tuban..cocok buat istirahat dan wisata,,,positif
waduk gondang,Nyaman dan sejuk tempatnya enak buat kumpul dan acara keluarga,,positif,
alun alun,"Bagus, bersih, tiap minggu pagi ada acara MinCe (Minggu Ceria) dan banyak penjual disekitar alun-alun.
Cocok untuk olahraga juga. Didekatnya ada Masjid Agung Lamongan.",positif,positif,
wbl,Wahana Bahari Lumayan untuk tempat Rekreasi keluarga,positif,,
wego,Akses jalan lumayan bagus namun jauh kemana-mana.,,,negatif
wego,"Jalan ke WEGO kalau dari arah Timur nanjak terusss, jadi harus prepare dan selalu berhati hati.",,,negatif
waduk gondang,Sangat indah...,positif,,
wego,"Harga tiket masuk terjangkau, tempat wisata dan kolam renang bersih",positif,,
wego,"Tidak begitu ramai, dan nyaman",positif,positif,
wego,"Kalau memang menaati peraturan prokes.. mohon menyediakan air cuci tangan dan tong sampah. Kasian petugas jika harus membersihkan sampah yg berserakan.. akibat susahnya persediaan tong sampah..
Lain lain sangat menghibur untuk anak anak.
Mohon maaf jika ada salah kata",,negatif,
wbl,"Wahana banyak, dari pagi main sampai sore puas rasanya disini",positif,,
alun alun,Nyaman buat anak anak tapi sayangnya banyak tempat main yang mulai rusak contohnya perosotan yang mulai berlubang,positif,negatif,
wbl,"Tempat rekreasi yang lengkap untuk keluarga, wahana yang bermacam macam dan penuh tantangan",positif,,
gunung pegat,Murah meriah,positif,,
alun alun,"Gowes dr Sidoarjo ke Lamongan mampir masjid Namira dan alun-alun kota Lamongan, ternyata alun alunnya besar cuma tulisan ikoniknya(alun-alun Lamongan) kurang besar dan jangan dilengkungkan soalnya dibuat foto gak keliatan,",negatif,,
gunung pegat,"Tempat pas buat buang penat, tiket motor 2k, tiket masuk 2k, cocok klo view malam",positif,,
goa maharani,enak,,,
gunung pegat,Datang kesini karena ada ayam hutan cengger ungu cantik banget. Masih nuansa hutan.. tapi dekat pemukiman penduduk...ya.. ga hutan banget,positif,,
pantai lorena,"pemandangan sangat indah, bisa diakses siapapun karena lokasinya pinggir jalan raya",,,positif
alun alun,Mantap sejuk ramai,positif,,
alun alun,"Smentara ini aq ngliatnya bagus sih... Tapi bru dri depan aja, blm masuk kedlm smenjak di renovasi... Cuman ada minus 1 tapi jdnya gedhe banget... Bianglalanya GAK JELAS BLAS... aq yakin itu budgetnya selangit... Tapi fungsi & faedahnya apa coba??!! Paham sih klo niatnya ""TIRU2"" Alun2 Batu... Apa g lebih bangga jd trendsetter drpd follower???",negatif,,
pantai lorena,Pemandangan yang bagus,positif,,
pantai lorena,mantap.. gratis.. bisa foto2,positif,,
pantai lorena,Sepanjang pantai terdapat tempat makan murah dan lengkap,,positif,
gunung pegat,"Gunung Pegat adalah salah satu obyek wisata baru di desa. Lokasinya berupa bukit yang ada bebatuan di atasnya. Ada beberapa spot untuk berfoto. Ada juga camping ground di sisi barat. Sudah disediakan kamar kecil, mushola dan beberapa bangunan seperti gazebo untuk bersantai. Di sebelah timur sebelum bagian ujung bukit ada jajanan kuliner makanan dan minuman untuk memgganjal perut sambil menikmati suasana perbukitan, memandang jauh ke kota Sukoharjo atau Wonogiri.",positif,positif,
alun alun,Alun-alun tempat rekreasi keluarga yg murah meriah.,positif,positif,
wbl,"Wahana bermain, kolam renang, & hewan2",positif,,
pantai kutang,"Sekedar saran aja, sebaiknya di sediakan tempat berteduh ...
Karena di sana tmpat berteduhnya di pakek buat bangku2 pemilik warung, jadi pengunjung malu kalau berteduh dn gak beli apa2 ...
Seharusnya kan kita pengunjung bisa istrahat  di bawah pohon cemara tapi semua pohon cemara gak ada yang kosonk ...
Kasihan pengunjung harus panas2an duduk di pasir2",,negatif,
gunung pegat,Wisata alam yg asri.,positif,,
alun alun,Bersih dan indah,positif,positif,
waduk gondang,Indah,positif,,
gunung pegat,kondisi jalan menanjak jadi harus hati hati,,,negatif
gunung mas mantup,"Gang masuk kecil dan tulisan di depan jalan raya juga kecil sempat terlewat dan kembali lagi masuk lorong kecil terus saja lewati makam, posisi wisata dibawah setelah makam, tempatnya bagus, tapi panas banget saya datang pas jam 11, pintu keluar masuk buat mobil pas banget sempit jd harus gantian jika masuk, tidak ada petunjuk arah. Dari sini pintu masuknya ya.. keren tempatnya banyak sport foto cantik ",positif,,negatif
pantai lorena,sangat mudah ditemukan karena berada di tepi jalan raya,,,positif
wbl,"Masjid di dekat tempat parkir cukup luas, di dalam juga ada musholla kecil. Kalau ingin oleh2 kaos, harganya cukup terjangkau. Jangan lupa beli Wingko Babat khas Lamongan.",,positif,
gunung mas mantup,Lumayan lah buat foto2 viewnya bagus,positif,,
gunung pegat,Tempat outdor yg enak buat nyantai dengan keluarga,positif,,
wbl,"Kali ketiga kesini antar rekreasi anak sekolah. Fuulll, gak bisa menikmati liburan karena barengan sama rombongan anak sekolah ber bis2. mau mainan juga antriannya panjang buanget.",negatif,,
alun alun,Mantaaaab.....sangat  memuaskan  untuk  refreshing  bersama  seluruh  keluarga.....,positif,,
pantai kutang,"Eksotis untuk selfie, rindang, sejuk, pandangan luas sambil duduk di atas laut",positif,,
alun alun,Semakin kereeen alun2 kota Lamongan ... Bersih dan nyaman sekali buat anak bermain,,positif,
goa maharani,"Pergi di selain hari Sabtu-Minggu sangat leluasa, pengunjung yang relatif tidak ramai, bebas dan tidak perlu antri melihat hewan. Goa Maharani nya sangat luar biasa.",positif,,
alun alun,"Banyak tanaman, sehingga membuat nyaman dan adapula wahana untuk anak anak sehingga cocok untuk refreshing keluarga di tengah kota",positif,positif,
gunung mas mantup, jalan masuk sempit dan tempat untuk berteduh masih kurang....agak panas jadinya....,,negatif,negatif
waduk gondang,Karena biasa melihat suasana indah,positif,,
wbl,harga standard. makanan standard. pelayanan memuaskan. nilai tambah adalah gak harus ngantri during pandemi mereda,,positif,
waduk gondang,Tempat untuk melepas penat,positif,,
wbl,Sangat puas permainanya lengkap,positif,,
wbl,Pemandangan yang indah wahana lumayan banyak,positif,,
gunung pegat,Bagus tempatnya cuma mck dikasih banyak biar tambah enak buat ngecam banyak orang,,negatif,
alun alun,"Cocok buat rehat, santai bersama keluarga, temen, pacar.",positif,,
pantai kutang,Mayan,,,
pantai lorena,Lumayan bersih dan jernih,,positif,
gunung pegat,mantab,,,
alun alun,Tempat sih sejuk...banyak temapt duduk nya,positif,positif,
alun alun,Bersih dan nyaman buat nyantai,,positif,
pantai lorena,"Perlu dikembangkan perawatan.nya, kebersihan jg perlu ditingkatkan. Mungkin bisa ditambah rest area dn parkiran. Melihat pemandangan sekitar sangat indah",positif,negatif,
wbl,Bagus bgt rekomen paket WBL,positif,,
waduk gondang,Toilet kurang bersih,,negatif,
gunung mas mantup,Pemandangan alam sangat indah,positif,,
goa maharani,Cocok buat tambah pengetahuan,positif,,
wbl,utk sementara saya berikan 4 bintang krn ada beberapa wahana yg lagi butuh perawatan,negatif,,
alun alun,Indah,positif,,
alun alun,Banyak permainan untuk anak2.,positif,,
alun alun,"Banyak tempat bermain yang sudah rusak, Air mancur yang tidak pernah menyalah.",,negatif,
goa maharani,Baguss,,,
alun alun,Salah satu fasilitas publik di kota Lamongan. Tempat yang hampir tidak pernah sepi setiap harinya. Bisa dijadikan sarana liburan bagi keluarga ataupun sekedar nongkrong dengan teman. Tempat yang memiliki fasilitas ckup di outdoor area. ,positif,positif,
alun alun,"Banyak aneka kuliner disini mulai soto lamongan, lalapan, dan lain2. ",positif,,
alun alun,"Luas....bannyak hiduran untuk masyarakat,kuliner khas dijajakan lesehan",positif,positif,
waduk gondang,"Lebih Asri, enak untuk santai bersama keluarga dan tiketnya murah",positif,,
wego,Tempat wisata yang ada pesawatnya di lamongan,positif,,
goa maharani,kereen,,,
pantai lorena,indahya suasana pantai lorena di tambah dengan wisata bahari lamongan tanjung kodok lengkap sudah hiburan kita,positif,,
wego,Suasananya nyaman cocok untuk santai bersama keluarga,positif,,
goa maharani,Tempat wisata yang Edukasi sekali,positif,,
alun alun,Bagus ada permainan anak² y lumayan buat anak bermain,positif,,
gunung pegat,Keren banget view nya,positif,,
wego,Jalan Dari arah mantup rusak Dan kurang lebar,,,negatif
waduk gondang,bagus sejuk,positif,,
goa maharani,Masih kurang lengkap Flora dan Fauna nya,negatif,,
alun alun,"Bagus, Bersih, Dekat Masjid Agung yg juga bersih dan Indah",positif,positif,
gunung pegat,Pemandanganya sangat bagus terlebih saat senja dan fajar cocok untuk rekreasi bersama keluarga pasangan dan teman,positif,,
gunung mas mantup,Tempat nya bagus cocok untuk bersantai anak saya suka,positif,,
wbl,Wisata bahari sangat bagus dan banyak permainan dan pembelajarann,positif,,
goa maharani,wisata edukasi kebun binatang merangkap goa maharani. sangat ramah anak dan keluarga. ada komidi putar ada renang ada berbagai binatang. tiket masuk 30-40k per orang (anak atas 85cm bayar),positif,,
alun alun,Lumayan ramai..tempat kulinernya juga banyak,,positif,
alun alun,"Tempatnya bersih, ada bianglala nya",positif,positif,
alun alun,"Ada penambahan wahana bermain yang baru yaitu bianglala makin menambah referensi permainan, sehingga semakin banyak pilihan bagi para pengunjung",positif,,
wego,sangat senang,,,
alun alun,Cocok utk keluarga,positif,,
wbl,Kamar ganti kolam renangnya jorok gak ada gantungan bajunya..,,negatif,
alun alun,"nuruti anak minta kesini
alhamdulillah tidak rame",positif,,
wbl,"Saatnya manjakan anak, tempat bersih tertata dan relatif murah",positif,positif,
wego,Kolam nya ok sih,,positif,
alun alun,Tempat wisata murah meriah untuk keluarga...sarana refreshing dan edukasi untuk anak anak,positif,,
alun alun,Tempat yang pas untuk keluarga kalau malam minggu.,positif,,
gunung mas mantup,Parkir 1 mobil bayar 30rb,,,
waduk gondang,Lumayan Bagus,,,
alun alun,Tempat luas. Banyak mainan utk anak2. Kemarin kesana jam 4an jd blm banyak penjual2 makanan...,positif,positif,
gunung pegat,Bagus untuk hunting sunrise,positif,,
wbl,Wisata yang penuh game yang asik cocok untuk anak anak yang masih kecil sampai dewasa karema semua permainan cocok untuk anak anak sampai oarang tua pun dari rumah hantu rel coaster tempat renang samapai waisata pantai di wbl juga menyediakan penginapan bagi pengunjung yang berasal dari luar lamongan,positif,positif,
pantai lorena,Rujaknya enak,,positif,
wbl,Ada beberapa wahananya yg tidak berfungs,negatif,,
wbl,Tempat wahana rekreasi di pantai utara lamongan yang menyediakan banyak pilihan wahana permainan,positif,,
